unit_type,u,grat_contrast,grat_orientation,response,smoothed_response
excit,4,0.186966,75,0.002947339041666667,0.0029495464583333335
excit,4,0.186966,90,0.002463391375,0.0025378529375
excit,4,0.186966,105,0.0026079675625000002,0.0025830253541666666
excit,4,0.186966,120,0.0033119918125,0.0031793328541666666
excit,4,0.186966,135,0.0021205870416666664,0.0021917914583333333
excit,4,0.186966,150,0.0024803016041666666,0.0026136941875
excit,4,0.186966,165,0.0029496707499999998,0.0030857505416666668
excit,4,0.303066,0,0.003922407791666666,0.0037918845000000003
excit,4,0.303066,15,0.0027254085416666667,0.0026632678333333333
excit,4,0.303066,30,0.002468915083333333,0.0023684225416666666
excit,4,0.303066,45,0.0024764142708333333,0.0025196476458333333
excit,4,0.303066,60,0.0031176599583333333,0.003114004395833333
excit,4,0.303066,75,0.003585751125,0.003423755541666667
excit,4,0.303066,90,0.003139305166666667,0.0032625620625
excit,4,0.303066,105,0.003143472916666666,0.0030429075208333336
excit,4,0.303066,120,0.0029026024375,0.0028430533958333335
excit,4,0.303066,135,0.0026315450625000003,0.0027303139791666664
excit,4,0.303066,150,0.0030855217916666666,0.0029679889375000003
excit,4,0.303066,165,0.003859355729166667,0.003977848708333333
excit,4,0.464386,0,0.00390494375,0.003793315708333333
excit,4,0.464386,15,0.0034035086874999996,0.0032295255625
excit,4,0.464386,30,0.0034374876041666663,0.003487645791666667
excit,4,0.464386,45,0.0024535589583333335,0.0024830432083333335
excit,4,0.464386,60,0.0035462156666666664,0.0035807801666666666
excit,4,0.464386,75,0.0032539563958333332,0.0031407394791666664
excit,4,0.464386,90,0.004005949416666666,0.004010449770833333
excit,4,0.464386,105,0.003667453729166667,0.0037911184999999997
excit,4,0.464386,120,0.0030118207083333335,0.003028882458333333
excit,4,0.464386,135,0.0034421474374999998,0.0034290433541666666
excit,4,0.464386,150,0.004211079895833333,0.004103198645833334
excit,4,0.464386,165,0.004065456229166667,0.004145991729166667
excit,4,0.68854,0,0.0038970683541666665,0.0037943640416666664
excit,4,0.68854,15,0.0036143893125000002,0.0035240855625
excit,4,0.68854,30,0.0026164180625,0.0026014145
excit,4,0.68854,45,0.0031997850416666668,0.0031625525625
excit,4,0.68854,60,0.0036769398125,0.003565525416666667
excit,4,0.68854,75,0.003981642833333333,0.003982566916666667
excit,4,0.68854,90,0.005113798,0.005052964666666666
excit,4,0.68854,105,0.004114156979166667,0.0039014106250000002
excit,4,0.68854,120,0.004106115541666667,0.003988654875
excit,4,0.68854,135,0.0035863482916666666,0.0035559779791666667
excit,4,0.68854,150,0.00464352325,0.004522661125
excit,4,0.68854,165,0.005614401916666667,0.0055895924166666664
excit,4,1.0,0,0.0047003362083333335,0.0045124300000000004
excit,4,1.0,15,0.0035535560416666665,0.0036043821041666668
excit,4,1.0,30,0.0035127297708333334,0.0034446509791666666
excit,4,1.0,45,0.0037158904166666664,0.003586147770833333
excit,4,1.0,60,0.003951711041666667,0.003897379458333333
excit,4,1.0,75,0.004853455416666667,0.004733704166666667
excit,4,1.0,90,0.004647435166666667,0.0045298073333333334
excit,4,1.0,105,0.00504596875,0.004927980625
excit,4,1.0,120,0.0037806979375000003,0.0036351225208333337
excit,4,1.0,135,0.003955423333333334,0.003735759416666667
excit,4,1.0,150,0.0040316558125,0.003906439958333333
excit,4,1.0,165,0.005691557541666666,0.0056897895
excit,6,0.0,0,0.00279401,0.002628167833333333
excit,6,0.0,15,0.0029658143333333334,0.003078084541666667
excit,6,0.0,30,0.0027598157916666668,0.002917703666666667
excit,6,0.0,45,0.0033693341666666664,0.00346515075
excit,6,0.0,60,0.0027109221666666663,0.003066082333333333
excit,6,0.0,75,0.00232067825,0.0025826584166666667
excit,6,0.0,90,0.0028652239166666667,0.0028297935833333336
excit,6,0.0,105,0.002833695791666667,0.0031288758749999997
excit,6,0.0,120,0.0032211503333333335,0.0033012360833333337
excit,6,0.0,135,0.001971959875,0.0023076905416666666
excit,6,0.0,150,0.002486602625,0.0025431787083333335
excit,6,0.0,165,0.003237507125,0.003323124166666667
