mean,mmd,avg,min,max,avg_accepted,max_accepted,min_accepted
0.021507354453206062,0.021507354453206062,,,,0.0,0.0,0.0
0.02955743856728077,0.02955743856728077,,,,0.0,0.0,0.0
0.033144086599349976,0.033144086599349976,,,,0.0,0.0,0.0
0.03350815176963806,0.03350815176963806,,,,0.0,0.0,0.0
0.029152126982808113,0.029152126982808113,,,,0.0,0.0,0.0
0.02959582395851612,0.02959582395851612,,,,0.0,0.0,0.0
0.028992624953389168,0.028992624953389168,,,,0.0,0.0,0.0
0.028853746131062508,0.028853746131062508,,,,0.0,0.0,0.0
0.029866786673665047,0.029866786673665047,,,,0.0,0.0,0.0
0.02871355600655079,0.02871355600655079,,,,0.0,0.0,0.0
0.02792486734688282,0.02792486734688282,,,,0.0,0.0,0.0
0.03385469317436218,0.03385469317436218,,,,0.0,0.0,0.0
0.032916873693466187,0.032916873693466187,,,,0.0,0.0,0.0
0.025765271857380867,0.025765271857380867,,,,0.0,0.0,0.0
0.028246494010090828,0.028246494010090828,,,,0.0,0.0,0.0
0.02899155206978321,0.02899155206978321,,,,0.0,0.0,0.0
0.029990287497639656,0.029990287497639656,,,,0.0,0.0,0.0
0.027891607955098152,0.027891607955098152,,,,0.0,0.0,0.0
0.03133377432823181,0.03133377432823181,,,,0.0,0.0,0.0
0.030780764296650887,0.030780764296650887,,,,0.0,0.0,0.0
0.03363892436027527,0.03363892436027527,,,,0.0,0.0,0.0
0.03318116068840027,0.03318116068840027,,,,0.0,0.0,0.0
0.034393757581710815,0.034393757581710815,,,,0.0,0.0,0.0
0.029315562918782234,0.029315562918782234,,,,0.0,0.0,0.0
0.024411531165242195,0.024411531165242195,,,,0.0,0.0,0.0
0.024699540808796883,0.024699540808796883,,,,0.0,0.0,0.0
0.02644464559853077,0.02644464559853077,,,,0.0,0.0,0.0
0.034463971853256226,0.034463971853256226,,,,0.0,0.0,0.0
0.03167042136192322,0.03167042136192322,,,,0.0,0.0,0.0
0.028758617118000984,0.028758617118000984,,,,0.0,0.0,0.0
0.032092660665512085,0.032092660665512085,,,,0.0,0.0,0.0
0.03307780623435974,0.03307780623435974,,,,0.0,0.0,0.0
0.02269706316292286,0.02269706316292286,,,,0.0,0.0,0.0
0.01673850603401661,0.01673850603401661,31296.44921875,0.00705382414162159,141842.625,0.019465595483779907,0.030753105878829956,0.00705382414162159
0.012380333617329597,0.012380333617329597,46858.0390625,0.00705382414162159,196357.890625,0.016111483797430992,0.027270527556538582,0.00705382414162159
0.01215323992073536,0.01215323992073536,4527.634765625,0.006200761999934912,41553.53125,0.014544031582772732,0.020894737914204597,0.006200761999934912
0.00791916437447071,0.00791916437447071,12201.607421875,0.006200761999934912,100182.0078125,0.010470648296177387,0.016330810263752937,0.006200761999934912
0.007698745932430029,0.007698745932430029,2960.101318359375,0.004718156065791845,20873.296875,0.01028191577643156,0.015881748870015144,0.004718156065791845
0.006184430327266455,0.006184430327266455,8692.4130859375,0.004718156065791845,68199.4921875,0.00838230736553669,0.014658184722065926,0.004718156065791845
0.005988092627376318,0.005988092627376318,4559.82568359375,0.005014987196773291,54704.8671875,0.00698712607845664,0.011061878874897957,0.005014987196773291
0.005526156630367041,0.005526156630367041,0.006921333260834217,0.003521533217281103,0.012262554839253426,0.006921333260834217,0.012262554839253426,0.003521533217281103
0.0032847835682332516,0.0032847835682332516,6070.46826171875,0.003289909567683935,56165.66015625,0.004037444945424795,0.005471916403621435,0.003289909567683935
0.003439278807491064,0.003439278807491064,1273.3404541015625,0.0027664615772664547,11316.84765625,0.004174848087131977,0.006175132002681494,0.0027664615772664547
0.002756447996944189,0.002756447996944189,16506.5,0.0027664615772664547,69166.984375,0.004244673997163773,0.0053207590244710445,0.0027664615772664547
0.0037544681690633297,0.0037544681690633297,4843.41015625,0.002678008284419775,24017.19140625,0.00471605034545064,0.010538788512349129,0.002678008284419775
0.0030154897831380367,0.0030154897831380367,6069.91748046875,0.002311916556209326,40355.09765625,0.003158368868753314,0.004511685576289892,0.002311916556209326
0.0035348846577107906,0.0035348846577107906,3362.9296875,0.002311916556209326,40355.09765625,0.005062486976385117,0.011084647849202156,0.002311916556209326
0.002111764159053564,0.002111764159053564,9131.5810546875,0.002342910971492529,62982.94140625,0.0038843019865453243,0.004916877951472998,0.002342910971492529
0.002773971762508154,0.002773971762508154,6854.5029296875,0.002342910971492529,40535.4375,0.003320829477161169,0.004564018454402685,0.002342910971492529
0.002613754477351904,0.002613754477351904,1705.548583984375,0.0018483116291463375,12307.9296875,0.0026245906483381987,0.003802151884883642,0.0018483116291463375
0.0022749616764485836,0.0022749616764485836,6861.5712890625,0.0018483116291463375,49990.75,0.00259224371984601,0.0036847307346761227,0.0018483116291463375
0.0022766306065022945,0.0022766306065022945,824.236083984375,0.0019197179935872555,5428.92236328125,0.003759975777938962,0.0056608631275594234,0.0019197179935872555
0.0017552091740071774,0.0017552091740071774,11117.7841796875,0.0019197179935872555,42103.6953125,0.0026776676531881094,0.004311890807002783,0.0019197179935872555
0.0020342781208455563,0.0020342781208455563,1982.6473388671875,0.0017509176395833492,11872.6015625,0.0029201353900134563,0.00463041802868247,0.0017509176395833492
0.001860113232396543,0.001860113232396543,7938.6748046875,0.0016406490467488766,36573.3984375,0.0025426263455301523,0.0035675480030477047,0.0016406490467488766
0.001945586409419775,0.001945586409419775,1782.7342529296875,0.0016406490467488766,11975.765625,0.002470775041729212,0.0037666275165975094,0.0016406490467488766
