mean,mmd,avg,min,max
0.6130838527637322,0.503131887252887,0.6114997616434361,0.6079042910891373,0.613332046504577
0.6206698402124246,0.5084444641428788,0.6154586938709947,0.6079042910891373,0.6205460413652261
0.6176656394558747,0.5042226075487931,0.6171765994884172,0.6128079279619058,0.6210715978699525
0.626210240955909,0.511743223603328,0.6255358661404185,0.6128079279619058,0.6321621968704064
0.6177499576764901,0.49937382930095986,0.6201499618779552,0.6143154933410485,0.6261378958183129
0.6248227491336663,0.5036277829962571,0.6236804306696785,0.6143154933410485,0.6286401807623704
0.6295740812378724,0.5076179414349397,0.6273498755551973,0.6191262959795792,0.6313050522762139
0.6313430278855164,0.5098420142489274,0.6288499030163817,0.6248761250930627,0.6317027344661553
0.6256380959707101,0.5016576557713349,0.6273588688198989,0.6242255627470811,0.6295920296865304
0.6263350605326493,0.5052230119067033,0.6265751977123418,0.6242255627470811,0.6295920296865304
0.6186185091095765,0.4984380810814698,0.6172131946707036,0.6116309299426873,0.6253226011353333
0.6216298475223382,0.5020721315699418,0.6220632469678189,0.6116309299426873,0.6279537438708146
0.6273220389443238,0.5047728180247147,0.6277800654561254,0.6249507873612244,0.629967434640487
0.6261539965229829,0.5068922846871217,0.6270728613129191,0.621872438426574,0.631468100781997
0.6195895954328378,0.5008148460942109,0.6191620674587884,0.6152641385155518,0.6257062017279466
0.6238294675308068,0.5029790162401994,0.6229738416132926,0.6152641385155518,0.6283954291897614
0.6264195799189408,0.5037292748051484,0.6254767172228229,0.6203951894598801,0.6303476899224122
0.6260607301550706,0.5003842323380311,0.6249550321225589,0.6203951894598801,0.6282386242705186
0.6124808102207978,0.4841711133080323,0.6150034046197201,0.6116365402298768,0.6278362631159623
0.6285287796812852,0.4984335660296281,0.6189699596190716,0.6116365402298768,0.6269062369423707
0.6211362242060502,0.4916236757593949,0.6243901319991482,0.6203443914013703,0.6288703739004929
0.6240661799269517,0.495372733409961,0.6243536746526028,0.6194186418610413,0.628567358787616
0.6231748371678193,0.49252583676155404,0.6261026678175661,0.6194186418610413,0.6306565313893159
0.6226343720513184,0.4906864225226243,0.6220412222237321,0.6166716127949555,0.628065696294864
0.617524599965175,0.4855172544079621,0.6181606800381606,0.6152249186592896,0.6210301130371888
0.6122410207348664,0.4818348496514161,0.6147146118373605,0.6107356905299027,0.6198184251147111
0.6110404639798005,0.4793612568932374,0.6104232462933592,0.6048766582566102,0.6144912301855882
0.6102214067536195,0.4756381272631486,0.6071889223513602,0.6034025981384118,0.610336756642421
0.6055081098633607,0.47039552622612313,0.6043445940836535,0.6004541426258881,0.6081678628283341
0.607411986525615,0.47107120447929696,0.6056086086754268,0.6004541426258881,0.6101674347477754
0.6163935720282395,0.48118977838333443,0.6141019928148321,0.6041059925514062,0.617939165170749
