u,unit_type,grat_orientation,grat_contrast,grat_spat_freq,grat_phase,response,smoothed_response
2,excit,0,0.186966,0.799834,90,0.0,0.0
2,excit,0,0.186966,0.799834,180,0.000856898,0.00137104
2,excit,0,0.186966,0.799834,270,0.00119904,0.000959233
2,excit,0,0.303066,0.01,0,0.0,0.0
2,excit,0,0.303066,0.01,90,0.00218102,0.00174482
2,excit,0,0.303066,0.01,180,0.00211566,0.00211566
2,excit,0,0.303066,0.01,270,0.00374813,0.00374813
2,excit,0,0.303066,0.0240215,0,0.00119904,0.00119904
2,excit,0,0.303066,0.0240215,90,0.00342466,0.00273973
2,excit,0,0.303066,0.0240215,180,0.000922509,0.00147601
2,excit,0,0.303066,0.0240215,270,0.00171233,0.00171233
2,excit,0,0.303066,0.0577032,0,0.0,0.000436205
2,excit,0,0.303066,0.0577032,90,0.00319744,0.00303757
2,excit,0,0.303066,0.0577032,180,0.00159872,0.00191847
2,excit,0,0.303066,0.0577032,270,0.0,0.0
2,excit,0,0.303066,0.138612,0,0.0,0.0
2,excit,0,0.303066,0.138612,90,0.00119904,0.00119904
2,excit,0,0.303066,0.138612,180,0.0,0.0
2,excit,0,0.303066,0.138612,270,0.00211715,0.00197601
2,excit,0,0.303066,0.332966,0,0.001998,0.001998
2,excit,0,0.303066,0.332966,90,0.00171233,0.00171233
2,excit,0,0.303066,0.332966,180,0.0,0.0
2,excit,0,0.303066,0.332966,270,0.0,0.000266312
2,excit,0,0.303066,0.799834,0,0.0,0.0
2,excit,0,0.303066,0.799834,90,0.0,0.0
2,excit,0,0.303066,0.799834,180,0.00218102,0.00239913
2,excit,0,0.303066,0.799834,270,0.000799361,0.000639488
2,excit,0,0.464386,0.01,0,0.0,0.0
2,excit,0,0.464386,0.01,90,0.00149925,0.0011994
2,excit,0,0.464386,0.01,180,0.0,0.0
2,excit,0,0.464386,0.01,270,0.0,0.00048
2,excit,0,0.464386,0.0240215,0,0.0,0.0
2,excit,0,0.464386,0.0240215,90,0.0017138,0.0017138
2,excit,0,0.464386,0.0240215,180,0.0,0.0
2,excit,0,0.464386,0.0240215,270,0.0,0.0
2,excit,0,0.464386,0.0577032,0,0.0,0.0
2,excit,0,0.464386,0.0577032,90,0.00184502,0.00166052
2,excit,0,0.464386,0.0577032,180,0.0,0.0
2,excit,0,0.464386,0.0577032,270,0.00133333,0.00106667
2,excit,0,0.464386,0.138612,0,0.00149925,0.00209895
2,excit,0,0.464386,0.138612,90,0.0,0.000449775
2,excit,0,0.464386,0.138612,180,0.000799361,0.000799361
2,excit,0,0.464386,0.138612,270,0.0,0.0
2,excit,0,0.464386,0.332966,0,0.0,0.0
2,excit,0,0.464386,0.332966,90,0.0,0.0
2,excit,0,0.464386,0.332966,180,0.0,0.0
2,excit,0,0.464386,0.332966,270,0.00109051,0.00087241
2,excit,0,0.464386,0.799834,0,0.000799361,0.00127898
2,excit,0,0.464386,0.799834,90,0.0,0.000171233
2,excit,0,0.464386,0.799834,180,0.000999001,0.000999001
2,excit,0,0.464386,0.799834,270,0.0,0.0
2,excit,0,0.68854,0.01,0,0.0,0.0
2,excit,0,0.68854,0.01,90,0.00171233,0.0010274
2,excit,0,0.68854,0.01,180,0.0,0.0
2,excit,0,0.68854,0.01,270,0.00141143,0.00127029
2,excit,0,0.68854,0.0240215,0,0.00342759,0.00377035
2,excit,0,0.68854,0.0240215,90,0.00184502,0.00184502
2,excit,0,0.68854,0.0240215,180,0.0,0.0
2,excit,0,0.68854,0.0240215,270,0.0,0.0
2,excit,0,0.68854,0.0577032,0,0.0,0.0
2,excit,0,0.68854,0.0577032,90,0.00499501,0.00519481
2,excit,0,0.68854,0.0577032,180,0.00133333,0.00133333
2,excit,0,0.68854,0.0577032,270,0.0,0.0
2,excit,0,0.68854,0.138612,0,0.00218102,0.00174482
2,excit,0,0.68854,0.138612,90,0.00369004,0.00295203
2,excit,0,0.68854,0.138612,180,0.000999001,0.000999001
2,excit,0,0.68854,0.138612,270,0.000799361,0.000479616
2,excit,0,0.68854,0.332966,0,0.00184502,0.00276753
2,excit,0,0.68854,0.332966,90,0.000922509,0.000553506
2,excit,0,0.68854,0.332966,180,0.00184502,0.00184502
2,excit,0,0.68854,0.332966,270,0.00239808,0.00255795
2,excit,0,0.68854,0.799834,0,0.00171331,0.00171331
2,excit,0,0.68854,0.799834,90,0.0,0.0
2,excit,0,0.68854,0.799834,180,0.0,0.0
2,excit,0,0.68854,0.799834,270,0.0,0.0
2,excit,0,1.0,0.01,0,0.002,0.0016
2,excit,0,1.0,0.01,90,0.0,0.0
2,excit,0,1.0,0.01,180,0.0,0.0
2,excit,0,1.0,0.01,270,0.0,0.00029985
2,excit,0,1.0,0.0240215,0,0.00218102,0.00196292
2,excit,0,1.0,0.0240215,90,0.001998,0.0027972
2,excit,0,1.0,0.0240215,180,0.00211715,0.00141143
2,excit,0,1.0,0.0240215,270,0.00149925,0.00149925
2,excit,0,1.0,0.0577032,0,0.0,0.0
2,excit,0,1.0,0.0577032,90,0.00141044,0.00155148
2,excit,0,1.0,0.0577032,180,0.000922509,0.000922509
